#variation; average eval-cost in ms; average init-cost in ms; average eval-memory in KB; average init-memory in KB; had eval-error; had init-error
htree_js; 0.00076748; 0.00152; 1.2288; 20.48; true; false
dc_booleans; 0.00076535; 0.002022; 2.6626; 20.48; false; false
dc_cairotiles; 0.00076532; 0.003373; 2.253; 20.48; false; false
pre_affine3D; 0.00076459; 0.001457; 1.8434; 20.48; false; false
mobius3D_with_inverse; 0.00076067; 0.003396; 2.253; 20.48; false; false
maple_leaf; 0.00076; 0.001597; 0.4096; 20.48; false; false
rhombus3D; 0.00075958; 0.001387; 1.4338; 20.48; false; false
cut_celtic; 0.00075877; 0.00132901; 1.2288; 20.48; false; false
popcorn2; 0.00075737; 0.002296; 0.6146; 1.54109375; false; false
blob; 0.00075534; 0.001436; 0.6146; 1.54109375; false; false
lissajous; 0.000754; 0.00250999; 1.0242; 5.56921875; false; false
julian2; 0.00075357; 0.00195; 1.0242; 5.56921875; false; false
hypertile3D2; 0.00075342; 0.002963; 0.6146; 5.56921875; false; false
taurus; 0.0007515; 0.002021; 0.6146; 5.56921875; false; false
post_julia3Dq; 0.00074785; 0.001546; 0.6146; 4.77367187; false; false
bipolar2; 0.00074744; 0.002332; 1.2288; 20.48; false; false
mobius_strip; 0.00074159; 0.001956; 1.0242; 12.96695312; false; false
checkerboard_wf; 0.00074099; 0.00183201; 1.0242; 20.48; false; false
waves22; 0.00073714; 0.003281; 0.8192; 20.48; false; false
cpow2; 0.0007369; 0.00169; 0.6146; 20.48; false; false
waves2_wf; 0.00073663; 0.00229299; 1.0242; 1.54109375; false; false
escher; 0.00073643; 0.004063; 0.4096; 1.54109375; false; false
post_point_crop; 0.00073224; 0.00179501; 0.8192; 20.48; false; false
pow_block; 0.00072806; 0.00177; 0.8192; 12.96695312; false; false
mobiq; 0.00072791; 0.00191801; 1.6384; 20.48; false; false
inverted_julia; 0.00072696; 0.00223301; 1.2288; 20.48; false; false
cut_web; 0.0007252; 0.001549; 1.2288; 20.48; false; false
stwin; 0.0007242; 0.00184099; 0.6146; 12.96695312; false; false
csch2_bs; 0.00072408; 0.00152; 0.6146; 20.48; false; false
z; 0.00072125; 0.002181; 1.4338; 12.96695312; false; false
mobius; 0.00071771; 0.00260999; 1.0242; 1.54109375; false; false
cut_booleans; 0.00071565; 0.002986; 0.6146; 20.48; false; false
oscilloscope2; 0.00071338; 0.001591; 0.8192; 12.96695312; false; false
cut_sincos; 0.0007085; 0.00168; 0.6146; 20.48; false; false
dc_butterflies; 0.00070769; 0.00178501; 2.048; 20.48; false; false
triangle; 0.00070565; 0.001883; 1.2288; 20.48; false; false
waves2_radial; 0.00070448; 0.00208; 0.8192; 20.48; false; false
tanh2_bs; 0.00070446; 0.002257; 0.6146; 20.48; false; false
devil_warp; 0.00070379; 0.00181601; 0.8192; 12.96695312; false; false
maurer_rose; 0.0007032; 0.002421; 1.2288; 20.48; false; false
post_falloff3; 0.00069907; 0.00162; 1.4338; 4.71203125; false; false
elliptic2; 0.0006976; 0.00176101; 1.2288; 20.48; false; false
falloff2; 0.0006946; 0.00345099; 1.2288; 5.56921875; false; false
x; 0.00069402; 0.00183199; 1.4338; 12.96695312; false; false
cos2_bs; 0.00069325; 0.00151; 0.6146; 20.48; false; false
plane_wf; 0.00069245; 0.00372401; 0.6146; 20.48; false; false
phoenix_julia; 0.00069231; 0.001796; 0.6146; 5.56921875; false; false
bbox3D; 0.00069201; 0.00129601; 1.6384; 20.48; false; false
dc_poincaredisc; 0.00069095; 0.004348; 1.8434; 20.48; false; false
epispiral; 0.0006908; 0.00275701; 0.6146; 5.56921875; false; false
shift; 0.00069051; 0.00148901; 0.6146; 20.48; false; false
glitchy1; 0.00068922; 0.00244001; 1.4338; 20.48; false; false
pulse; 0.00068828; 0.002532; 0.6146; 20.48; false; false
exp2_bs; 0.00068771; 0.00221099; 0.6146; 20.48; false; false
truchet_fill; 0.00068651; 0.002224; 0.6146; 20.48; false; false
sin2_bs; 0.00068597; 0.002084; 0.6146; 20.48; false; false
auger; 0.00068301; 0.001556; 0.6146; 1.54109375; false; false
y; 0.00068155; 0.00211799; 1.4338; 12.96695312; false; false
exblur; 0.00067939; 0.001572; 0.8192; 12.96695312; false; false
cut_chains; 0.0006773; 0.001432; 0.8192; 20.48; false; false
japanese_maple_leaf; 0.0006752; 0.001161; 0.4096; 20.48; false; false
post_crop_triangle; 0.0006744; 0.00146099; 0.8192; 20.48; false; false
cut_rgrid; 0.0006728; 0.00131099; 1.0242; 20.48; false; false
glynnSim1; 0.00067208; 0.004074; 1.0242; 5.68726563; false; false
dc_cube; 0.00067038; 0.002428; 1.2288; 5.56921875; false; false
polarplot2d_wf; 0.00066666; 0.483881; 1.6384; 107.87414062; false; false
post_crop_polygon; 0.00066281; 0.001819; 1.0242; 20.48; false; false
glynnSShape; 0.0006624; 0.003478; 1.4338; 20.48; false; false
wedge; 0.0006624; 0.002135; 0.6146; 1.54109375; false; false
radial_blur; 0.00066112; 0.001626; 0.4096; 1.54109375; false; false
eMod; 0.00065866; 0.00182299; 0.6146; 5.56921875; false; false
circleRand; 0.00065866; 0.00226601; 1.0242; 12.96695312; false; false
truchetflow; 0.00065842; 0.00130099; 1.0242; 20.48; false; false
post_juliaq; 0.00065332; 0.00172101; 0.4096; 4.77367187; false; false
scry2; 0.00065304; 0.001452; 0.6146; 12.96695312; false; false
squirrel; 0.00065052; 0.001368; 0.6146; 12.96695312; false; false
glynnSim3; 0.000649; 0.003106; 0.8192; 5.68726563; false; false
helix; 0.00064887; 0.001334; 0.6146; 20.48; false; false
atan2_spirals; 0.00064853; 0.001787; 1.4338; 20.48; false; false
pre_c_var; 0.00064848; 0.007402; 1.0242; 20.48; false; false
cut_mandala; 0.00064712; 0.001822; 0.8192; 20.48; false; false
linearT3D; 0.00064613; 0.00212301; 0.8192; 5.56921875; false; false
crop_polygon; 0.00064345; 0.00132999; 1.0242; 20.48; false; false
spherecrop; 0.0006414; 0.001984; 0.8192; 20.48; false; false
post_smartcrop; 0.00064115; 0.00198999; 1.0242; 4.77367187; false; false
recurrenceplot; 0.00063371; 0.00172601; 1.0242; 20.48; false; false
murl2; 0.00062923; 0.001411; 0.6146; 4.71203125; false; false
