#variation; average eval-cost in ms; average init-cost in ms; average eval-memory in KB; average init-memory in KB; had eval-error; had init-error
waves2_wf; 0.00098404; 0.00096532; 0.89601; 0.15004245; false; false
glynnlissa; 0.00098314; 0.00261551; 1.20321; 1.2288; false; false
cubicLattice_3D; 0.00098248; 0.00074907; 0.6144; 0.6144; false; false
dc_triangle; 0.00098087; 0.00051899; 0.37889; 0.37553333; false; false
julian; 0.00097652; 0.00303185; 0.42497; 0.06873698; false; false
blocky; 0.00097186; 0.00054764; 0.54272; 0.54613333; false; false
mobius; 0.00096871; 0.00146725; 0.94208; 0.36545937; false; false
julian3Dx; 0.00096577; 0.00144521; 1.08033; 1.09226667; false; false
split; 0.00096452; 0.00069712; 0.45056; 0.44925339; false; false
circleTrans1; 0.00096421; 0.00068101; 0.88064; 0.8534; false; false
curl_sp; 0.00096361; 0.00094916; 0.77824; 0.78513333; false; false
shredrad; 0.00096234; 0.00060385; 0.45056; 0.47786667; false; false
julia3D; 0.00096185; 0.00146343; 0.49665; 0.06833385; false; false
shredlin; 0.00096155; 0.00066037; 0.6144; 0.6144; false; false
rings2; 0.00096041; 0.00054146; 0.37888; 0.37859167; false; false
lsystem_js; 0.00095572; 0.66682447; 0.91136; 10.07599193; false; false
mcarpet; 0.00095521; 0.00057935; 0.6144; 0.6144; false; false
tqmirror; 0.00095044; 0.00120649; 0.96256; 0.98993333; false; false
bSwirl; 0.00094913; 0.00056056; 0.58881; 0.59280807; false; false
ex; 0.00094874; 0.00014079; 0.16897; 0.16449297; false; false
starblur; 0.00094296; 0.00064015; 0.42497; 0.42562318; false; false
cardioid; 0.00094233; 0.00051587; 0.37888; 0.37553333; false; false
truchet_hex_fill; 0.00094212; 0.00168385; 0.58881; 0.6144; false; false
swirl3D_wf; 0.00094152; 0.00047583; 0.54272; 0.54613333; false; false
rectangles; 0.00093848; 0.00054904; 0.45056; 0.03969687; false; false
dc_linear; 0.00093368; 0.00069069; 0.54272; 0.54613333; false; false
target_sp; 0.00093367; 0.00059791; 0.58881; 0.60294036; false; false
blob3D; 0.00093052; 0.00066396; 0.68097; 0.68266667; false; false
mask; 0.00093017; 0.00071138; 0.70656; 0.71686667; false; false
heart_wf; 0.00092709; 0.00087607; 0.70656; 0.71639792; false; false
handkerchief; 0.00092386; 0.00015383; 0.16897; 0.16449297; false; false
lorenz_js; 0.00092153; 0.0011701; 0.8704; 0.88746667; false; false
truchet; 0.00091796; 0.0002179; 0.23552; 0.23707708; false; false
csch2_bs; 0.00091629; 0.00058143; 0.6144; 0.6144; false; false
dc_perlin; 0.00091468; 0.00022695; 0.72193; 0.23596458; false; false
rational3; 0.00091314; 0.00078589; 0.94208; 0.95573333; false; false
truchet2; 0.00091084; 0.00087422; 0.79872; 0.8192; false; false
eRotate; 0.00090649; 0.00078544; 0.51713; 0.52114167; false; false
linearT; 0.00090645; 0.00057692; 0.58881; 0.59637344; false; false
onion2; 0.00090621; 0.00092617; 0.98304; 0.9429125; false; false
boarders2; 0.00090582; 0.00060822; 0.54272; 0.54091797; false; false
linearT3D; 0.00090262; 0.00063745; 0.70656; 0.71377292; false; false
pre_disc3d; 0.00089037; 0.00051831; 0.37888; 0.37690104; false; false
cpow2; 0.00088992; 0.00099036; 0.58881; 0.6144; false; false
pie3D; 0.00088967; 0.00061744; 0.68097; 0.68266667; false; false
circlesplit; 0.00088383; 0.00060286; 0.45056; 0.47786667; false; false
hexaplay3D; 0.00088365; 0.00082966; 0.70656; 0.71446719; false; false
inverted_julia; 0.00087912; 0.00104128; 1.03424; 1.0582; false; false
bipolar; 0.00087677; 0.00068741; 0.37888; 0.38102604; false; false
bMod; 0.00087549; 0.00068677; 0.58881; 0.59290182; false; false
post_smartcrop; 0.00087537; 0.00112191; 0.96256; 0.08475911; false; false
pre_circlecrop; 0.00087435; 0.00063662; 0.68097; 0.6812026; false; false
curl; 0.00087417; 0.00193564; 0.45056; 0.02452839; false; false
post_depth; 0.00087371; 0.00062102; 0.37888; 0.38735182; false; false
circleLinear; 0.00086944; 0.00075744; 1.08033; 1.09226667; false; false
layered_spiral; 0.00086937; 0.00051308; 0.37888; 0.37637552; false; false
mobius_strip; 0.00086893; 0.00136072; 0.96256; 0.98993333; false; false
post_colorscale_wf; 0.00086582; 0.00063395; 0.70656; 0.71494271; false; false
sinusoidal; 0.0008658; 0.00018169; 0.16897; 0.16847708; false; false
pre_stabilize; 0.00086397; 0.66667789; 0.50176; 22.7993625; true; false
falloff2; 0.00086208; 0.00105721; 1.05985; 0.24891484; false; false
post_circlecrop; 0.00086151; 0.00090891; 0.68097; 0.06840104; false; false
perspective; 0.00086094; 0.001106; 0.45056; 0.45728568; false; false
cosh2_bs; 0.00086005; 0.00058963; 0.6144; 0.6144; false; false
eJulia; 0.00085841; 0.00051444; 0.49665; 0.49446953; false; false
cone; 0.0008583; 0.00117365; 1.03424; 1.0582; false; false
glsl_hyperbolictile; 0.00085806; 0.00092911; 1.08033; 0.37553333; false; false
jac_dn; 0.00085319; 0.00051491; 0.92673; 0.399825; false; false
target; 0.00084947; 0.00056181; 0.54272; 0.5411599; false; false
custom_wf; 0.00084823; 0.00090826; 0.8704; 0.88746667; false; false
dinis_surface_wf; 0.00084614; 0.00066486; 0.45056; 0.46724219; false; false
blob; 0.00084394; 0.00060286; 0.54272; 0.54499896; false; false
epispiral; 0.00084341; 0.00054967; 0.54272; 0.54226667; false; false
fdisc; 0.00084057; 0.00072619; 0.94208; 0.95573333; false; false
pre_wave3D_wf; 0.00083996; 0.00092127; 0.96769; 0.15131953; false; false
csc2_bs; 0.00083582; 0.00060899; 0.6144; 0.6144; false; false
modulus; 0.00083453; 0.00068236; 0.45056; 0.44918802; false; false
sigmoid; 0.00083304; 0.00057022; 0.45056; 0.47786667; false; false
scry2; 0.00083117; 0.00076626; 0.47104; 0.47786667; false; false
q_ode; 0.00083012; 0.00169357; 1.26976; 1.29706667; false; false
iconattractor_js; 0.00082995; 0.00123917; 0.96256; 0.98993333; false; false
svensson_js; 0.00082945; 0.00104359; 0.6144; 0.6144; false; false
sin2_bs; 0.00082897; 0.00065257; 0.6144; 0.6144; false; false
separation; 0.00082816; 0.00087353; 0.6144; 0.6116776; false; false
swirl3; 0.00082321; 0.00052689; 0.37888; 0.37553333; false; false
terrain3D; 0.00082138; 0.00598506; 1.50528; 13.312; false; false
flower_db; 0.00081937; 0.0006526; 0.8704; 0.88746667; false; false
splits3D; 0.00081909; 0.00063274; 0.68097; 0.68266667; false; false
scrambly; 0.0008133; 0.00533034; 0.54272; 1.46438073; false; false
exblur; 0.0008112; 0.00065707; 0.70656; 0.71110443; false; false
eMotion; 0.00081082; 0.00060449; 0.58881; 0.59689375; false; false
corners; 0.00080708; 0.00210987; 1.03424; 1.0582; false; false
kaleidoscope; 0.00080591; 0.00080829; 0.70656; 0.71819844; false; false
hypertile; 0.00080589; 0.0008974; 0.47104; 0.47146198; false; false
fan2; 0.00080325; 0.00067188; 0.45056; 0.45639948; false; false
post_bumpmap_wf; 0.00080213; 0.03173711; 0.84481; 16.40601927; false; false
elliptic2; 0.00079741; 0.0015913; 1.19808; 1.2288; false; false
disc2; 0.00079705; 0.00139321; 0.45056; 0.04028854; false; false
checkerboard_wf; 0.00079409; 0.00130823; 0.89601; 0.92166667; false; false
auger; 0.00079376; 0.00056928; 0.6144; 0.6144; false; false
truchet_hex_crop; 0.00079273; 0.00101491; 0.45056; 0.47786667; false; false
cot2_bs; 0.00079248; 0.00080397; 0.6144; 0.6144; false; false
log_tile2; 0.00079231; 0.00059421; 0.54272; 0.54613333; false; false
cpow; 0.0007915; 0.00066159; 0.54272; 0.54613333; false; false
wedge_julia; 0.00078743; 0.00084314; 0.6144; 0.61120911; false; false
circular; 0.00078651; 0.00053045; 0.45056; 0.47786667; false; false
csc_squared; 0.00078628; 0.00143982; 0.8704; 0.88746667; false; false
